2014-04-20 10:23:31,129 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(54)) - Skipping public boolean org.apache.hadoop.fs.AbstractFileSystem.equals(java.lang.Object)
2014-04-20 10:23:31,132 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(54)) - Skipping public int org.apache.hadoop.fs.AbstractFileSystem.hashCode()
2014-04-20 10:23:31,133 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract boolean org.apache.hadoop.fs.AbstractFileSystem.delete(org.apache.hadoop.fs.Path,boolean) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,133 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.mkdir(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.permission.FsPermission,boolean) throws org.apache.hadoop.security.AccessControlException,org.apache.hadoop.fs.FileAlreadyExistsException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract void org.apache.hadoop.fs.AbstractFileSystem.setPermission(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.permission.FsPermission) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.FSDataInputStream org.apache.hadoop.fs.AbstractFileSystem.open(org.apache.hadoop.fs.Path) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public abstract org.apache.hadoop.fs.FSDataInputStream org.apache.hadoop.fs.AbstractFileSystem.open(org.apache.hadoop.fs.Path,int) throws org.apache.hadoop.security.AccessControlException,java.io.FileNotFoundException,org.apache.hadoop.fs.UnresolvedLinkException,java.io.IOException
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public void org.apache.hadoop.fs.AbstractFileSystem.checkPath(org.apache.hadoop.fs.Path)
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public java.net.URI org.apache.hadoop.fs.AbstractFileSystem.getUri()
2014-04-20 10:23:31,134 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public java.lang.String org.apache.hadoop.fs.AbstractFileSystem.getCanonicalServiceName()
2014-04-20 10:23:31,135 INFO  fs.FileSystem (TestFilterFs.java:testFilterFileSystem(56)) - Testing public org.apache.hadoop.fs.Path org.apache.hadoop.fs.AbstractFileSystem.makeQualified(org.apache.hadoop.fs.Path)
